"","wilaya_id","w","lat","lon","geoAddress"
"1",1,"مسـقط",0,0,0
"2",2,"السـيب",0,0,0
"3",3,"مـطرح",0,0,0
"4",4,"بوشـر",0,0,0
"5",5,"العامـرات",0,0,0
"6",6,"قريات",0,0,0
"7",7,"صحار",0,0,0
"8",8,"الرستاق",0,0,0
"9",9,"شناص",0,0,0
"10",10,"لوى",0,0,0
"11",11,"صحم",0,0,0
"12",12,"الخابورة",0,0,0
"13",13,"السويق",0,0,0
"14",14,"نخل",0,0,0
"15",15,"وادي المعاول",0,0,0
"16",16,"العوابي",0,0,0
"17",17,"المصنعة",0,0,0
"18",18,"بركاء",0,0,0
"19",19,"خصب",0,0,0
"20",20,"بخاء",0,0,0
"21",21,"دبا",0,0,0
"22",22,"مدحاء",0,0,0
"23",23,"البريمي",0,0,0
"24",24,"عبري",0,0,0
"25",25,"محضة",0,0,0
"26",26,"ينقل",0,0,0
"27",27,"ضنك",0,0,0
"28",28,"نزوى",0,0,0
"29",29,"سمائل",0,0,0
"30",30,"بهلاء",0,0,0
"31",31,"أدم",0,0,0
"32",32,"الحمراء",0,0,0
"33",33,"منح",0,0,0
"34",34,"إزكي",0,0,0
"35",35,"بدبد",0,0,0
"36",36,"صور",0,0,0
"37",37,"إبراء",0,0,0
"38",38,"بدية",0,0,0
"39",39,"القابل",0,0,0
"40",40,"المضيبي",0,0,0
"41",41,"دماء والطائيين",0,0,0
"42",42,"الكامل والوافي",0,0,0
"43",43,"جعلان بني بو علي",0,0,0
"44",44,"جعلان بني بو حسن",0,0,0
"45",45,"وادي بني خالد",0,0,0
"46",46,"مصيرة",0,0,0
"47",47,"هيماء",0,0,0
"48",48,"محوت",0,0,0
"49",49,"الدقم",0,0,0
"50",50,"الجازر",0,0,0
"51",51,"صلالة",0,0,0
"52",52,"ثـمـريت",0,0,0
"53",53,"طاقة",0,0,0
"54",54,"مرباط",0,0,0
"55",55,"سدح",0,0,0
"56",56,"رخيوت",0,0,0
"57",57,"ضلكوت",0,0,0
"58",58,"مقشن",0,0,0
"59",59,"شليم وجزر الحلانيات",0,0,0
"60",60,"المزيونة",0,0,0
"61",61,"السنينة",0,0,0
